respondent_id,name,source_column,source_file
Respondent_0,74,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_1,75,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_2,76,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_3,77,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_4,78,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_5,79,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_6,80,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_7,81,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_8,82,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_9,83,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_10,84,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_11,85,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_12,86,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_13,87,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_14,88,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_15,89,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_16,90,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_17,91,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_18,92,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_19,93,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_20,94,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_21,95,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_22,96,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_23,97,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_24,98,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_25,99,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_26,100,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_27,101,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_28,102,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_29,103,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_30,104,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_31,105,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_32,106,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_33,107,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_34,108,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_35,109,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_36,110,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_37,111,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_38,112,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_39,113,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_40,114,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_41,115,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_42,116,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_43,117,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_44,118,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_45,119,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_46,120,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_47,121,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_48,122,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_49,123,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_50,124,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_51,125,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_52,126,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_53,127,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_54,128,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_55,129,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_56,130,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_57,131,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_58,132,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_59,133,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_60,134,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_61,135,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_62,136,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_63,137,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_64,138,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_65,139,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_66,140,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_67,141,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_68,142,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_69,143,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
Respondent_70,144,序号,/Users/depblu/Documents/GitHub/Agentic_KG/data/序号_schema_cleaned.csv
