issue_id,name,source_column,mention_count
Issue_0,灯具边界,13、劣势点,1
Issue_1,风格个性,13、劣势点,1
Issue_2,喜好一致性,13、劣势点,1
Issue_3,车尾造型,13、劣势点,1
Issue_4,后尾部,13、劣势点,1
Issue_5,圆润感,13、劣势点,1
Issue_6,亲和感,13、劣势点,1
Issue_7,6坐空间,13、劣势点,1
Issue_8,仪表,13、劣势点,1
Issue_9,细节部分,13、劣势点,1
Issue_10,感官品质,13、劣势点,1
Issue_11,外造型微细节,13、劣势点,1
Issue_12,前脸,13、劣势点,2
Issue_13,隐藏式门把手,13、劣势点,2
Issue_14,开门关门声音,13、劣势点,1
Issue_15,车身外钣金件接缝,13、劣势点,1
Issue_16,工艺管控,13、劣势点,1
Issue_17,侧面造型,13、劣势点,2
Issue_18,前备箱缝隙,13、劣势点,1
Issue_19,MPV设计,13、劣势点,1
Issue_20,车顶摄像头,13、劣势点,1
Issue_21,前脸造型,13、劣势点,3
Issue_22,鲨鱼鳍,13、劣势点,1
Issue_23,后背造型,13、劣势点,1
Issue_24,尺寸,13、劣势点,1
Issue_25,造型接受度,13、劣势点,1
Issue_26,车头设计,13、劣势点,1
Issue_27,车型颜色配置,13、劣势点,1
Issue_28,年轻化,13、劣势点,1
Issue_29,车高,13、劣势点,1
Issue_30,车宽视觉效果,13、劣势点,1
Issue_31,设计借鉴,13、劣势点,1
Issue_32,劳斯莱斯设计元素,13、劣势点,1
Issue_33,尾部设计,13、劣势点,1
Issue_34,前脸设计,13、劣势点,1
Issue_35,圆润度,13、劣势点,1
Issue_36,尾部棱角,13、劣势点,1
Issue_37,尾部尖锐感,13、劣势点,1
Issue_38,轮辋造型,13、劣势点,1
Issue_39,后脸造型,13、劣势点,1
Issue_40,造型审美,13、劣势点,1
Issue_41,豪华感,13、劣势点,2
Issue_42,轮毂,13、劣势点,1
Issue_43,A柱,13、劣势点,1
Issue_44,车身形态,13、劣势点,1
Issue_45,后四窗,13、劣势点,1
Issue_46,车身造型,13、劣势点,1
Issue_47,力量感,13、劣势点,1
Issue_48,亮饰条,13、劣势点,1
Issue_49,高端感,13、劣势点,1
Issue_50,车身臃肿,13、劣势点,1
Issue_51,发动机盖分缝设计,13、劣势点,1
Issue_52,大众化,13、劣势点,1
Issue_53,特征,13、劣势点,1
Issue_54,新潮性,13、劣势点,1
Issue_55,前脸灯造型,13、劣势点,1
Issue_56,保险杠造型,13、劣势点,1
Issue_57,视觉冲击力,13、劣势点,1
Issue_58,细节制造工艺,13、劣势点,1
Issue_59,造型新意,13、劣势点,1
Issue_60,M9,13、劣势点,1
Issue_61,M8,13、劣势点,1
Issue_62,价值感,20、劣势点,1
Issue_63,线条流畅度,20、劣势点,1
Issue_64,做工,20、劣势点,1
Issue_65,简洁性,20、劣势点,1
Issue_66,置物便利性,20、劣势点,1
Issue_67,内饰精致度,20、劣势点,1
Issue_68,开关缝隙,20、劣势点,1
Issue_69,储物空间,20、劣势点,2
Issue_70,皮质亲肤感,20、劣势点,1
Issue_71,仪表台塑料感,20、劣势点,1
Issue_72,塑料感,20、劣势点,1
Issue_73,按键数量,20、劣势点,1
Issue_74,辨识度,20、劣势点,1
Issue_75,二排过道,20、劣势点,1
Issue_76,质感,20、劣势点,1
Issue_77,方向盘形状,20、劣势点,1
Issue_78,座椅,20、劣势点,1
Issue_79,翻毛皮,20、劣势点,1
Issue_80,塑料部件,20、劣势点,1
Issue_81,板块体验感,20、劣势点,1
Issue_82,设计简洁性,20、劣势点,1
Issue_83,空间,20、劣势点,2
Issue_84,个性,20、劣势点,1
Issue_85,前排座椅调整,20、劣势点,1
Issue_86,前排空间,20、劣势点,1
Issue_87,座椅脏污,20、劣势点,1
Issue_88,导轨外露,20、劣势点,1
Issue_89,仪表尺寸小,20、劣势点,1
Issue_90,用料一般,20、劣势点,1
Issue_91,软包区域不足,20、劣势点,1
