feature_id,name,source_column,mention_count
Feature_0,体量,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,2
Feature_1,形面,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_2,个性,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,2
Feature_3,辨识度,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,3
Feature_4,原创性,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,2
Feature_5,车身流线型,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_6,车身高度,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,2
Feature_7,臃肿感,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_8,前脸,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_9,定位,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_10,科技感,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_11,独特性,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_12,仿生学造型,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_13,海鸥动物力度,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_14,整体外观,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_15,银河式贯穿灯,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_16,性价比,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_17,年轻感,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_18,清新感,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_19,外观,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,9
Feature_20,座椅放倒功能,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_21,气垫床适配性,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_22,活动天幕,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_23,尾门储物盒,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_24,改装性,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_25,电动发罩,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Feature_26,固定扰流板,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
