aspect_name,name,source_column,source_file
Aspect_0,personal_consumption,personal_consumption_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_1,trend_consumption,trend_consumption_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_2,fashion_consumption,fashion_consumption_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_3,quality_consumption,quality_consumption_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_4,appearance_design,appearance_design_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_5,interior_design,interior_design_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_6,smart_cockpit,smart_cockpit_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_7,config_value,config_value_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_8,vehicle_quality,vehicle_quality_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_9,driving_safety,driving_safety_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_10,riding_comfort,riding_comfort_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_11,operation_convenience,operation_convenience_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_12,service_experience,service_experience_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
Aspect_13,driving_comfort,driving_comfort_score,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv
