from_id,to_id,to_name,relationship_type,score,source_column
Respondent_0,Aspect_0,personal_consumption_score,RATES,1.0,personal_consumption_score
Respondent_1,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_2,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_3,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_4,Aspect_0,personal_consumption_score,RATES,2.0,personal_consumption_score
Respondent_5,Aspect_0,personal_consumption_score,RATES,1.0,personal_consumption_score
Respondent_6,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_7,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_8,Aspect_0,personal_consumption_score,RATES,5.0,personal_consumption_score
Respondent_9,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_10,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_11,Aspect_0,personal_consumption_score,RATES,4.0,personal_consumption_score
Respondent_12,Aspect_0,personal_consumption_score,RATES,4.0,personal_consumption_score
Respondent_13,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_14,Aspect_0,personal_consumption_score,RATES,4.0,personal_consumption_score
Respondent_15,Aspect_0,personal_consumption_score,RATES,4.0,personal_consumption_score
Respondent_16,Aspect_0,personal_consumption_score,RATES,2.0,personal_consumption_score
Respondent_17,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_18,Aspect_0,personal_consumption_score,RATES,5.0,personal_consumption_score
Respondent_19,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_20,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_21,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_22,Aspect_0,personal_consumption_score,RATES,4.0,personal_consumption_score
Respondent_23,Aspect_0,personal_consumption_score,RATES,5.0,personal_consumption_score
Respondent_24,Aspect_0,personal_consumption_score,RATES,5.0,personal_consumption_score
Respondent_25,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_26,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_27,Aspect_0,personal_consumption_score,RATES,5.0,personal_consumption_score
Respondent_28,Aspect_0,personal_consumption_score,RATES,2.0,personal_consumption_score
Respondent_29,Aspect_0,personal_consumption_score,RATES,5.0,personal_consumption_score
Respondent_30,Aspect_0,personal_consumption_score,RATES,4.0,personal_consumption_score
Respondent_31,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_32,Aspect_0,personal_consumption_score,RATES,1.0,personal_consumption_score
Respondent_33,Aspect_0,personal_consumption_score,RATES,5.0,personal_consumption_score
Respondent_34,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_35,Aspect_0,personal_consumption_score,RATES,5.0,personal_consumption_score
Respondent_36,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_37,Aspect_0,personal_consumption_score,RATES,4.0,personal_consumption_score
Respondent_38,Aspect_0,personal_consumption_score,RATES,2.0,personal_consumption_score
Respondent_39,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_40,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_41,Aspect_0,personal_consumption_score,RATES,5.0,personal_consumption_score
Respondent_42,Aspect_0,personal_consumption_score,RATES,5.0,personal_consumption_score
Respondent_43,Aspect_0,personal_consumption_score,RATES,2.0,personal_consumption_score
Respondent_44,Aspect_0,personal_consumption_score,RATES,1.0,personal_consumption_score
Respondent_45,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
Respondent_46,Aspect_0,personal_consumption_score,RATES,3.0,personal_consumption_score
