experience_id,name,source_column,mention_count
Experience_0,体量,appearance_overall_positive,1
Experience_1,形面,appearance_overall_positive,1
Experience_2,个性,appearance_overall_positive,2
Experience_3,辨识度,appearance_overall_positive,2
Experience_4,原创性,appearance_overall_positive,2
Experience_6,车身高度,appearance_overall_positive,1
Experience_7,臃肿感,appearance_overall_positive,1
Experience_8,前脸,appearance_overall_positive,1
Experience_9,定位,appearance_overall_positive,1
Experience_10,科技感,appearance_overall_positive,1
Experience_16,性价比,appearance_overall_positive,1
Experience_20,座椅放倒,appearance_overall_positive,1
Experience_21,气垫床,appearance_overall_positive,1
Experience_22,活动天幕,appearance_overall_positive,1
Experience_23,尾门储物盒,appearance_overall_positive,1
Experience_24,改装性,appearance_overall_positive,1
Experience_26,固定扰流板,appearance_overall_positive,1
Experience_27,悬浮式车顶,appearance_overall_positive,1
Experience_28,尾门小桌板,appearance_overall_positive,1
Experience_29,涉水深度,appearance_overall_positive,1
Experience_39,时尚,appearance_overall_positive,1
Experience_40,视觉冲击力,appearance_overall_positive,1
Experience_45,线条流畅,appearance_overall_positive,1
Experience_46,高头大马,appearance_overall_positive,1
Experience_56,年轻化,appearance_overall_positive,1
Experience_71,硬朗,appearance_overall_positive,1
Experience_72,大众审美,appearance_overall_positive,1
Experience_78,掀背门,appearance_overall_positive,1
Experience_79,卡钳罩,appearance_overall_positive,1
Experience_81,风格统一,appearance_overall_positive,1
Experience_83,城市越野风,appearance_overall_positive,1
Experience_86,线性,appearance_overall_positive,1
Experience_88,匀称,appearance_overall_positive,1
Experience_89,爆满,appearance_overall_positive,1
Experience_90,尺寸紧凑,appearance_overall_positive,1
Experience_94,面包车感,appearance_overall_positive,1
Experience_99,厚重,appearance_overall_positive,1
Experience_100,中规中矩,appearance_overall_positive,1
Experience_101,外造型,appearance_overall_positive,1
Experience_102,线条,appearance_overall_positive,3
Experience_103,外形,appearance_overall_positive,1
Experience_104,车体格,appearance_overall_positive,1
Experience_105,整体比例,appearance_overall_positive,1
Experience_106,时尚感,appearance_overall_positive,1
Experience_107,SUV造型,appearance_overall_positive,1
Experience_108,发罩分缝形式,appearance_overall_positive,1
Experience_109,车身形态,appearance_overall_positive,1
Experience_0,灯具边界,appearance_overall_negative,1
Experience_2,喜好,appearance_overall_negative,2
Experience_3,车尾造型,appearance_overall_negative,1
Experience_4,沉稳感,appearance_overall_negative,1
Experience_5,后尾部,appearance_overall_negative,1
Experience_6,圆润感,appearance_overall_negative,1
Experience_7,亲和感,appearance_overall_negative,1
Experience_8,6坐空间,appearance_overall_negative,1
Experience_9,仪表,appearance_overall_negative,1
Experience_10,细节部分,appearance_overall_negative,1
Experience_11,感官品质,appearance_overall_negative,1
Experience_12,外造型微细节,appearance_overall_negative,1
Experience_13,惊艳感,appearance_overall_negative,1
Experience_16,开门关门声音,appearance_overall_negative,1
Experience_17,车身外钣金件接缝,appearance_overall_negative,1
Experience_18,工艺管控,appearance_overall_negative,1
Experience_19,侧面设计,appearance_overall_negative,1
Experience_20,前备箱缝隙,appearance_overall_negative,1
Experience_21,MPV设计,appearance_overall_negative,1
Experience_22,车顶摄像头,appearance_overall_negative,1
Experience_23,前脸造型,appearance_overall_negative,1
Experience_24,侧面造型,appearance_overall_negative,1
Experience_25,鲨鱼鳍,appearance_overall_negative,1
Experience_26,后背设计,appearance_overall_negative,1
Experience_27,尺寸,appearance_overall_negative,1
Experience_28,造型接受度,appearance_overall_negative,1
Experience_29,车头,appearance_overall_negative,1
Experience_30,车型,appearance_overall_negative,1
Experience_31,颜色,appearance_overall_negative,1
Experience_32,配置,appearance_overall_negative,1
Experience_33,车高,appearance_overall_negative,1
Experience_34,车宽,appearance_overall_negative,1
Experience_35,设计,appearance_overall_negative,1
Experience_36,尾部设计,appearance_overall_negative,1
Experience_37,前脸设计,appearance_overall_negative,1
Experience_38,尾部,appearance_overall_negative,1
Experience_39,轮辋造型,appearance_overall_negative,1
Experience_40,前后脸造型,appearance_overall_negative,1
Experience_42,轮毂,appearance_overall_negative,1
Experience_43,A柱,appearance_overall_negative,1
Experience_45,后四窗,appearance_overall_negative,1
Experience_46,车身造型,appearance_overall_negative,1
