component_id,name,source_column,mention_count
Component_0,车身,appearance_overall_positive,1
Component_2,前脸,appearance_overall_positive,1
Component_3,造型,appearance_overall_positive,2
Component_5,座椅,appearance_overall_positive,1
Component_6,活动天幕,appearance_overall_positive,1
Component_7,尾门,appearance_overall_positive,1
Component_13,涉水深度,appearance_overall_positive,1
Component_30,内饰,appearance_overall_positive,1
Component_36,整体,appearance_overall_positive,2
Component_10,车身外钣金件,appearance_overall_negative,1
Component_18,车型,appearance_overall_negative,1
Component_19,颜色,appearance_overall_negative,1
Component_20,配置,appearance_overall_negative,1
Component_28,后四窗,appearance_overall_negative,1
Component_35,制造工艺,appearance_overall_negative,1
Component_8,贯穿式前大灯,appearance_front_side_positive,1
Component_11,星环大灯,appearance_front_side_positive,1
Component_12,鲨鱼前脸,appearance_front_side_positive,1
Component_14,灯,appearance_front_side_positive,2
Component_15,车灯,appearance_front_side_positive,1
Component_16,侧围,appearance_front_side_positive,2
Component_18,星环灯,appearance_front_side_positive,1
Component_21,进气格栅,appearance_front_side_positive,1
Component_23,大灯,appearance_front_side_positive,1
Component_25,侧面轮廓,appearance_front_side_positive,1
Component_26,前脸格栅,appearance_front_side_positive,1
Component_27,侧位,appearance_front_side_positive,1
Component_28,前脸气坝,appearance_front_side_positive,1
Component_29,饱满度,appearance_front_side_positive,1
Component_31,设计语言,appearance_front_side_positive,1
Component_4,缝隙,appearance_front_side_negative,2
Component_5,间隙,appearance_front_side_negative,1
Component_10,翼子板,appearance_front_side_negative,1
Component_11,四门,appearance_front_side_negative,1
Component_12,把手,appearance_front_side_negative,1
Component_16,外视镜,appearance_front_side_negative,1
Component_17,前后组合大灯,appearance_front_side_negative,1
Component_18,前格栅,appearance_front_side_negative,1
Component_19,车身侧面线条,appearance_front_side_negative,1
Component_1,外观颜色,appearance_paint_color_positive,1
Component_2,漆面,appearance_paint_color_positive,5
Component_4,漆面颜色,appearance_paint_color_positive,1
Component_5,外漆,appearance_paint_color_positive,2
Component_11,红色金属漆,appearance_paint_color_positive,1
Component_1,车漆颜色,appearance_paint_color_negative,2
Component_3,色,appearance_paint_color_negative,1
Component_0,中控,interior_design_layout_positive,2
Component_1,储物区域,interior_design_layout_positive,1
Component_2,控制区域,interior_design_layout_positive,1
Component_3,包袱,interior_design_layout_positive,1
Component_4,方向盘,interior_design_layout_positive,1
Component_5,座椅布局,interior_design_layout_positive,1
Component_7,仪表台,interior_design_layout_positive,2
Component_8,储物,interior_design_layout_positive,2
Component_9,氛围灯,interior_design_layout_positive,3
Component_10,内饰材料,interior_design_layout_positive,1
Component_11,内饰颜色,interior_design_layout_positive,1
Component_12,后备箱软包,interior_design_layout_positive,1
Component_13,IP贯穿屏,interior_design_layout_positive,1
Component_14,真皮座椅,interior_design_layout_positive,1
Component_15,座椅加热,interior_design_layout_positive,1
Component_16,座椅电动调节,interior_design_layout_positive,1
Component_17,座椅通风,interior_design_layout_positive,1
Component_18,十点按摩,interior_design_layout_positive,1
Component_19,电动遮阳帘,interior_design_layout_positive,1
Component_20,压缩机大冰箱,interior_design_layout_positive,1
Component_21,全功能方向盘,interior_design_layout_positive,1
Component_22,操控,interior_design_layout_positive,1
Component_23,车窗,interior_design_layout_positive,1
Component_24,车内空间,interior_design_layout_positive,1
Component_25,第三排座椅,interior_design_layout_positive,1
Component_26,车窗遮阳帘,interior_design_layout_positive,1
Component_27,中控台,interior_design_layout_positive,1
Component_28,中控显示屏,interior_design_layout_positive,1
Component_29,BOSE音响,interior_design_layout_positive,1
Component_30,后排座椅加热,interior_design_layout_positive,1
Component_31,屏幕,interior_design_layout_positive,1
Component_32,空间,interior_design_layout_positive,2
Component_34,大屏,interior_design_layout_positive,1
Component_35,天幕屏,interior_design_layout_positive,1
Component_36,储物空间,interior_design_layout_positive,1
Component_37,设计风格,interior_design_layout_positive,1
Component_38,座位,interior_design_layout_positive,1
Component_0,置物空间,interior_design_layout_negative,1
Component_2,开关,interior_design_layout_negative,1
Component_4,接触面,interior_design_layout_negative,1
Component_5,皮质,interior_design_layout_negative,1
Component_7,按键,interior_design_layout_negative,1
Component_8,二排过道,interior_design_layout_negative,1
Component_11,翻毛皮,interior_design_layout_negative,1
Component_12,塑料部件,interior_design_layout_negative,1
Component_13,板块,interior_design_layout_negative,1
Component_16,前排座椅,interior_design_layout_negative,1
Component_17,导轨,interior_design_layout_negative,1
Component_19,三排导轨,interior_design_layout_negative,1
Component_20,驾驶员信息显示区域,interior_design_layout_negative,1
Component_21,用料,interior_design_layout_negative,2
Component_22,软包区域,interior_design_layout_negative,1
Component_24,风格,interior_design_layout_negative,1
Component_25,副驾前方储物格,interior_design_layout_negative,1
Component_26,抽屉,interior_design_layout_negative,1
Component_27,前排中间空调出风口,interior_design_layout_negative,1
Component_0,可视处,interior_material_workmanship_positive,1
Component_1,触摸处,interior_material_workmanship_positive,1
Component_3,竹炭材质,interior_material_workmanship_positive,1
Component_4,身体接触部分,interior_material_workmanship_positive,1
Component_5,一键小憩模式,interior_material_workmanship_positive,1
Component_6,大床模式,interior_material_workmanship_positive,1
Component_7,IP台,interior_material_workmanship_positive,1
Component_8,仿麂皮,interior_material_workmanship_positive,1
Component_11,皮肤接触部位,interior_material_workmanship_positive,1
Component_12,昊铂A800,interior_material_workmanship_positive,1
Component_13,化妆镜,interior_material_workmanship_positive,2
Component_15,软包,interior_material_workmanship_positive,3
Component_17,软质覆盖,interior_material_workmanship_positive,1
Component_19,身体接触面,interior_material_workmanship_positive,1
Component_20,真皮,interior_material_workmanship_positive,2
Component_21,地毯,interior_material_workmanship_positive,1
Component_23,麂皮,interior_material_workmanship_positive,1
Component_24,座椅材质,interior_material_workmanship_positive,1
Component_27,门饰板,interior_material_workmanship_positive,1
Component_28,仪表板,interior_material_workmanship_positive,1
Component_30,拉手,interior_material_workmanship_positive,1
Component_31,H5,interior_material_workmanship_positive,1
Component_32,门板,interior_material_workmanship_positive,1
Component_33,实木,interior_material_workmanship_positive,1
Component_34,IP,interior_material_workmanship_positive,1
Component_35,CONSOLE,interior_material_workmanship_positive,1
Component_37,车内软包覆,interior_material_workmanship_positive,1
Component_38,车载冰箱,interior_material_workmanship_positive,1
Component_0,喇叭网孔,interior_material_workmanship_negative,1
Component_2,后排座椅,interior_material_workmanship_negative,1
Component_3,金属制品,interior_material_workmanship_negative,1
Component_5,门板开关面板,interior_material_workmanship_negative,1
Component_6,中控台饰板,interior_material_workmanship_negative,1
Component_7,毛织,interior_material_workmanship_negative,1
Component_8,内饰接缝面,interior_material_workmanship_negative,1
Component_9,按摩,interior_material_workmanship_negative,1
Component_10,内饰布局,interior_material_workmanship_negative,1
Component_12,内饰用料,interior_material_workmanship_negative,1
Component_13,布料,interior_material_workmanship_negative,1
Component_14,硬塑料,interior_material_workmanship_negative,2
Component_15,双连屏,interior_material_workmanship_negative,1
Component_16,按键面板,interior_material_workmanship_negative,1
Component_19,低档软包,interior_material_workmanship_negative,1
Component_21,镀铬饰条,interior_material_workmanship_negative,1
Component_22,仿皮座椅,interior_material_workmanship_negative,1
Component_23,第三排空间,interior_material_workmanship_negative,1
Component_24,材质,interior_material_workmanship_negative,2
Component_26,Console,interior_material_workmanship_negative,1
Component_28,顶棚,interior_material_workmanship_negative,1
Component_29,工艺,interior_material_workmanship_negative,1
Component_0,香薰,interior_color_atmosphere_positive,1
Component_3,HMI,interior_color_atmosphere_positive,1
Component_6,色彩氛围,interior_color_atmosphere_positive,1
Component_8,灯光,interior_color_atmosphere_positive,1
Component_9,香味系统,interior_color_atmosphere_positive,1
Component_11,材料,interior_color_atmosphere_positive,1
Component_12,色彩,interior_color_atmosphere_positive,1
Component_13,红色,interior_color_atmosphere_positive,1
Component_14,橙色,interior_color_atmosphere_positive,1
Component_0,木纹,interior_color_atmosphere_negative,1
Component_1,前排,interior_color_atmosphere_negative,1
Component_2,二排,interior_color_atmosphere_negative,1
Component_3,三排,interior_color_atmosphere_negative,1
Component_4,氛围感,interior_color_atmosphere_negative,1
Component_8,白色,interior_color_atmosphere_negative,1
Component_9,质感,interior_color_atmosphere_negative,1
Component_10,沉浸感,interior_color_atmosphere_negative,1
Component_11,色彩搭配,interior_color_atmosphere_negative,1
Component_12,前玻璃,interior_color_atmosphere_negative,1
Component_13,视野,interior_color_atmosphere_negative,1
Component_14,米色,interior_color_atmosphere_negative,1
Component_16,配色,interior_color_atmosphere_negative,1
Component_17,灯光氛围,interior_color_atmosphere_negative,1
Component_0,机构,interior_design_details_positive,1
Component_1,铁网出风口,interior_design_details_positive,1
Component_3,二排座椅,interior_design_details_positive,1
Component_4,娱乐屏,interior_design_details_positive,1
Component_5,实体按键,interior_design_details_positive,1
Component_6,开门开关,interior_design_details_positive,1
Component_7,中控储物盒,interior_design_details_positive,1
Component_11,CNSL手套箱,interior_design_details_positive,1
Component_12,220V插座,interior_design_details_positive,1
Component_13,内饰设计,interior_design_details_positive,2
Component_14,后备箱盖板,interior_design_details_positive,1
Component_16,窗位边界,interior_design_details_positive,1
Component_19,音响网罩,interior_design_details_positive,1
Component_20,软质材料,interior_design_details_positive,1
Component_21,显示屏幕,interior_design_details_positive,1
Component_23,右侧座椅,interior_design_details_positive,1
Component_24,Nappa真皮座椅,interior_design_details_positive,1
Component_25,副驾储物,interior_design_details_positive,1
Component_26,后备箱,interior_design_details_positive,1
Component_27,螺丝,interior_design_details_positive,1
Component_28,眼镜盒,interior_design_details_positive,1
Component_29,B柱挂钩,interior_design_details_positive,1
Component_0,三排座椅,interior_design_details_negative,1
Component_2,内开门把手,interior_design_details_negative,1
Component_3,副驾手套箱,interior_design_details_negative,1
Component_4,冰箱位,interior_design_details_negative,1
Component_5,后排座椅通风,interior_design_details_negative,1
Component_6,小桌板,interior_design_details_negative,1
Component_8,导航按钮,interior_design_details_negative,1
Component_9,中央出风口装饰条,interior_design_details_negative,1
Component_10,中央扶手,interior_design_details_negative,1
Component_11,USB接口,interior_design_details_negative,1
Component_13,扶手,interior_design_details_negative,1
Component_3,主驾屏幕,smart_cockpit_hardware_positive,1
Component_4,副驾屏幕,smart_cockpit_hardware_positive,1
Component_5,8255芯片,smart_cockpit_hardware_positive,1
Component_6,硬件,smart_cockpit_hardware_positive,1
Component_7,语音识别系统,smart_cockpit_hardware_positive,1
Component_8,8295芯片,smart_cockpit_hardware_positive,1
Component_9,鸿蒙系统,smart_cockpit_hardware_positive,1
Component_10,自研系统,smart_cockpit_hardware_positive,1
Component_11,仪表屏幕,smart_cockpit_hardware_positive,1
Component_12,后排娱乐系统,smart_cockpit_hardware_positive,1
Component_13,硬件平台,smart_cockpit_hardware_positive,1
Component_14,页面,smart_cockpit_hardware_positive,1
Component_15,momenta技术,smart_cockpit_hardware_positive,1
